onset,duration,trial_type
0,30,rest
30,1.75,control
31.75,1.75,control
33.5,1.75,control
35.25,1.75,control
37,1.75,control
38.75,1.75,control
40.5,1.75,control
42.25,1.75,control
44,1.75,control
45.75,1.75,control
47.5,1.75,control
49.25,1.75,control
51,1.75,control
52.75,1.75,control
54.5,1.75,control
56.25,1.75,control
58,1.75,control
59.75,1.75,control
61.5,1.75,control
63.25,1.75,control
65,1.75,control
66.75,1.75,control
68.5,1.75,control
70.25,1.75,control
72,1.75,interference
73.75,1.75,interference
75.5,1.75,interference
77.25,1.75,interference
79,1.75,interference
80.75,1.75,interference
82.5,1.75,interference
84.25,1.75,interference
86,1.75,interference
87.75,1.75,interference
89.5,1.75,interference
91.25,1.75,interference
93,1.75,interference
94.75,1.75,interference
96.5,1.75,interference
98.25,1.75,interference
100,1.75,interference
101.75,1.75,interference
103.5,1.75,interference
105.25,1.75,interference
107,1.75,interference
108.75,1.75,interference
110.5,1.75,interference
112.25,1.75,interference
114,1.75,control
115.75,1.75,control
117.5,1.75,control
119.25,1.75,control
121,1.75,control
122.75,1.75,control
124.5,1.75,control
126.25,1.75,control
128,1.75,control
129.75,1.75,control
131.5,1.75,control
133.25,1.75,control
135,1.75,control
136.75,1.75,control
138.5,1.75,control
140.25,1.75,control
142,1.75,control
143.75,1.75,control
145.5,1.75,control
147.25,1.75,control
149,1.75,control
150.75,1.75,control
152.5,1.75,control
154.25,1.75,control
156,1.75,interference
157.75,1.75,interference
159.5,1.75,interference
161.25,1.75,interference
163,1.75,interference
164.75,1.75,interference
166.5,1.75,interference
168.25,1.75,interference
170,1.75,interference
171.75,1.75,interference
173.5,1.75,interference
175.25,1.75,interference
177,1.75,interference
178.75,1.75,interference
180.5,1.75,interference
182.25,1.75,interference
184,1.75,interference
185.75,1.75,interference
187.5,1.75,interference
189.25,1.75,interference
191,1.75,interference
192.75,1.75,interference
194.5,1.75,interference
196.25,1.75,interference
198,1.75,control
199.75,1.75,control
201.5,1.75,control
203.25,1.75,control
205,1.75,control
206.75,1.75,control
208.5,1.75,control
210.25,1.75,control
212,1.75,control
213.75,1.75,control
215.5,1.75,control
217.25,1.75,control
219,1.75,control
220.75,1.75,control
222.5,1.75,control
224.25,1.75,control
226,1.75,control
227.75,1.75,control
229.5,1.75,control
231.25,1.75,control
233,1.75,control
234.75,1.75,control
236.5,1.75,control
238.25,1.75,control
240,1.75,interference
241.75,1.75,interference
243.5,1.75,interference
245.25,1.75,interference
247,1.75,interference
248.75,1.75,interference
250.5,1.75,interference
252.25,1.75,interference
254,1.75,interference
255.75,1.75,interference
257.5,1.75,interference
259.25,1.75,interference
261,1.75,interference
262.75,1.75,interference
264.5,1.75,interference
266.25,1.75,interference
268,1.75,interference
269.75,1.75,interference
271.5,1.75,interference
273.25,1.75,interference
275,1.75,interference
276.75,1.75,interference
278.5,1.75,interference
280.25,1.75,interference
282,1.75,control
283.75,1.75,control
285.5,1.75,control
287.25,1.75,control
289,1.75,control
290.75,1.75,control
292.5,1.75,control
294.25,1.75,control
296,1.75,control
297.75,1.75,control
299.5,1.75,control
301.25,1.75,control
303,1.75,control
304.75,1.75,control
306.5,1.75,control
308.25,1.75,control
310,1.75,control
311.75,1.75,control
313.5,1.75,control
315.25,1.75,control
317,1.75,control
318.75,1.75,control
320.5,1.75,control
322.25,1.75,control
324,1.75,interference
325.75,1.75,interference
327.5,1.75,interference
329.25,1.75,interference
331,1.75,interference
332.75,1.75,interference
334.5,1.75,interference
336.25,1.75,interference
338,1.75,interference
339.75,1.75,interference
341.5,1.75,interference
343.25,1.75,interference
345,1.75,interference
346.75,1.75,interference
348.5,1.75,interference
350.25,1.75,interference
352,1.75,interference
353.75,1.75,interference
355.5,1.75,interference
357.25,1.75,interference
359,1.75,interference
360.75,1.75,interference
362.5,1.75,interference
364.25,1.75,interference
366,30,rest
