Created Output Log File: /workdir/tasks_run/data/logs/data_dictionary_20240910_20h31m20s.csv
block_start_time,2024-09-10 20:30:58.559725
num_trials_failed,1
nii_list,[]
event_dict,{}
resid_list,[]
nf_scores,[]
====== trial1 ======
trial_start_time,2024-09-10 20:30:58.562754
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/43711835568135389729.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR1.nii
mean_activation,415.57248
successful_trial_end,True
ending_trial_time,2024-09-10 20:31:02.607328
total_trial_time,0:00:04.044579
====== trial2 ======
trial_start_time,2024-09-10 20:31:02.610089
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/37668029400383869142.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR2.nii
mean_activation,414.57498
successful_trial_end,True
ending_trial_time,2024-09-10 20:31:03.710849
total_trial_time,0:00:01.100765
====== trial3 ======
trial_start_time,2024-09-10 20:31:03.713550
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/71140504485696910302.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR3.nii
mean_activation,414.8049
successful_trial_end,True
ending_trial_time,2024-09-10 20:31:04.815835
total_trial_time,0:00:01.102290
====== trial4 ======
trial_start_time,2024-09-10 20:31:04.818843
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/58544532241208191504.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR4.nii
mean_activation,415.20862
successful_trial_end,True
ending_trial_time,2024-09-10 20:31:05.813737
total_trial_time,0:00:00.994899
====== trial5 ======
trial_start_time,2024-09-10 20:31:05.816619
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/61396763736735410403.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR5.nii
mean_activation,415.91098
successful_trial_end,True
ending_trial_time,2024-09-10 20:31:06.927792
total_trial_time,0:00:01.111177
====== trial6 ======
trial_start_time,2024-09-10 20:31:06.930602
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/830116107108960014.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR6.nii
mean_activation,415.0158
successful_trial_end,True
ending_trial_time,2024-09-10 20:31:07.923415
total_trial_time,0:00:00.992818
====== trial7 ======
trial_start_time,2024-09-10 20:31:07.926293
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/76303627630934369524.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR7.nii
mean_activation,413.8759
successful_trial_end,True
ending_trial_time,2024-09-10 20:31:09.027736
total_trial_time,0:00:01.101448
====== trial8 ======
trial_start_time,2024-09-10 20:31:09.030627
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/55122871787908212052.dcm
