Created Output Log File: /workdir/tasks_run/data/logs/data_dictionary_20240910_20h47m28s.csv
====== whole_session_data ======,====== whole_session_data ======
script_starting_time,2024-09-10 20:46:50.965401
sambashare_dir_path,/workdir/tasks_run/data/sambashare
roi_mask_dir_path,/workdir/tasks_run/data/roi_masks
log_directory_path,/workdir/tasks_run/data/logs
starting_block,1
number_of_trials,140
retries_before_ending,3
output_text_logfile_path,/workdir/tasks_run/data/logs/calculator_script_20240910_20h46m50s.txt
roi_mask_path,/workdir/tasks_run/data/roi_masks/P004_e3_registered_rifg.nii
dicom_dir_path,/workdir/tasks_run/data/sambashare/test_dir
starting_dicoms_in_dir,29
dicoms_in_dir,58
scripting_ending_time,2024-09-10 20:47:28.229451
script_total_time,0:00:37.264053
script_ending_cause,keyboard interrupt
block_start_time,2024-09-10 20:46:50.969314
num_trials_failed,1
nii_list,[]
event_dict,{}
resid_list,[]
nf_scores,[]
====== trial1 ======,====== trial1 ======
trial_start_time,2024-09-10 20:46:50.973148
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/39335216810422494796.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR1.nii
mean_activation,415.57248
successful_trial_end,True
ending_trial_time,2024-09-10 20:46:55.864193
total_trial_time,0:00:04.891050
====== trial2 ======,====== trial2 ======
trial_start_time,2024-09-10 20:46:55.867204
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/51066017853430120776.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR2.nii
mean_activation,414.57498
successful_trial_end,True
ending_trial_time,2024-09-10 20:46:56.868034
total_trial_time,0:00:01.000835
====== trial3 ======,====== trial3 ======
trial_start_time,2024-09-10 20:46:56.870823
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/64255827906427282241.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR3.nii
mean_activation,414.8049
successful_trial_end,True
ending_trial_time,2024-09-10 20:46:57.969760
total_trial_time,0:00:01.098942
====== trial4 ======,====== trial4 ======
trial_start_time,2024-09-10 20:46:57.972856
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/43752904495060976216.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR4.nii
mean_activation,415.20862
successful_trial_end,True
ending_trial_time,2024-09-10 20:46:59.068222
total_trial_time,0:00:01.095370
====== trial5 ======,====== trial5 ======
trial_start_time,2024-09-10 20:46:59.071216
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/66289661497050762790.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR5.nii
mean_activation,415.91098
successful_trial_end,True
ending_trial_time,2024-09-10 20:47:00.065827
total_trial_time,0:00:00.994616
====== trial6 ======,====== trial6 ======
trial_start_time,2024-09-10 20:47:00.068874
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/79664470625462800045.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR6.nii
mean_activation,415.0158
successful_trial_end,True
ending_trial_time,2024-09-10 20:47:01.162334
