Created Output Log File: /workdir/tasks_run/data/msit_data/P09_msit_data_20240917_11h32m02s.csv
====== whole_session_data ======
most_recent_dicom_dir,/workdir/tasks_run/data/sambashare/P004_list4_dicoms
pid,P09
block_type,444
experimenter_screen_width,3390
experimenter_screen_height,1080
second_monitor_width,1920
second_monitor_height,1080
monitor_X_OFFSET,1920
monitor_Y_OFFSET,0
====== trial1 ======
start_time,2024-09-17 11:31:46.763085
block_type,444
number_series,"[2, 2, 3]"
reaction_time,0:00:01.150017
response,3
different_number,3
correct,True
end_time,2024-09-17 11:31:48.424878
====== trial2 ======
start_time,2024-09-17 11:31:48.430522
block_type,444
number_series,"[2, 3, 2]"
reaction_time,0:00:00.876565
response,3
different_number,3
correct,True
end_time,2024-09-17 11:31:49.819360
====== trial3 ======
start_time,2024-09-17 11:31:49.824538
block_type,444
number_series,"[1, 3, 3]"
reaction_time,0:00:01.404108
response,1
different_number,1
correct,True
end_time,2024-09-17 11:31:51.739580
====== trial4 ======
start_time,2024-09-17 11:31:51.744854
block_type,444
number_series,"[1, 3, 3]"
response,
different_number,1
correct,False
end_time,2024-09-17 11:31:54.762284
====== trial5 ======
start_time,2024-09-17 11:31:54.762885
block_type,444
number_series,"[1, 3, 3]"
reaction_time,0:00:00.726622
response,1
different_number,1
correct,True
end_time,2024-09-17 11:31:55.997624
====== trial6 ======
start_time,2024-09-17 11:31:56.002978
block_type,444
number_series,"[1, 3, 3]"
reaction_time,0:00:00.709617
response,1
different_number,1
correct,True
end_time,2024-09-17 11:31:57.220604
====== trial7 ======
start_time,2024-09-17 11:31:57.224546
block_type,444
number_series,"[1, 3, 3]"
reaction_time,0:00:00.513675
response,1
different_number,1
correct,True
end_time,2024-09-17 11:31:58.248240
====== trial8 ======
start_time,2024-09-17 11:31:58.252808
block_type,444
number_series,"[2, 3, 2]"
reaction_time,0:00:01.074047
response,3
different_number,3
correct,True
end_time,2024-09-17 11:31:59.835972
====== trial9 ======
start_time,2024-09-17 11:31:59.841846
block_type,444
number_series,"[2, 2, 1]"
reaction_time,0:00:01.248288
response,2
different_number,1
correct,False
end_time,2024-09-17 11:32:01.602730
====== trial10 ======
start_time,2024-09-17 11:32:01.608250
block_type,444
number_series,"[2, 2, 3]"
reaction_time,0:00:00.738619
response,1
different_number,3
correct,False
end_time,2024-09-17 11:32:02.859926
