onset,duration,trial_type
30.00,1.75,control
31.75,1.75,control
33.50,1.75,control
35.25,1.75,control
37.00,1.75,control
38.75,1.75,control
40.50,1.75,control
42.25,1.75,control
44.00,1.75,control
45.75,1.75,control
47.50,1.75,control
49.25,1.75,control
51.00,1.75,control
52.75,1.75,control
54.50,1.75,control
56.25,1.75,control
58.00,1.75,control
59.75,1.75,control
61.50,1.75,control
63.25,1.75,control
65.00,1.75,control
66.75,1.75,control
68.50,1.75,control
70.25,1.75,control
72.00,1.75,interference
73.75,1.75,interference
75.50,1.75,interference
77.25,1.75,interference
79.00,1.75,interference
80.75,1.75,interference
82.50,1.75,interference
84.25,1.75,interference
86.00,1.75,interference
87.75,1.75,interference
89.50,1.75,interference
91.25,1.75,interference
93.00,1.75,interference
94.75,1.75,interference
96.50,1.75,interference
98.25,1.75,interference
100.00,1.75,interference
101.75,1.75,interference
103.50,1.75,interference
105.25,1.75,interference
107.00,1.75,interference
108.75,1.75,interference
110.50,1.75,interference
112.25,1.75,interference
114.00,1.75,control
115.75,1.75,control
117.50,1.75,control
119.25,1.75,control
121.00,1.75,control
122.75,1.75,control
124.50,1.75,control
126.25,1.75,control
128.00,1.75,control
129.75,1.75,control
131.50,1.75,control
133.25,1.75,control
135.00,1.75,control
136.75,1.75,control
138.50,1.75,control
140.25,1.75,control
142.00,1.75,control
143.75,1.75,control
145.50,1.75,control
147.25,1.75,control
149.00,1.75,control
150.75,1.75,control
152.50,1.75,control
154.25,1.75,control
156.00,1.75,interference
157.75,1.75,interference
159.50,1.75,interference
161.25,1.75,interference
163.00,1.75,interference
164.75,1.75,interference
166.50,1.75,interference
168.25,1.75,interference
170.00,1.75,interference
171.75,1.75,interference
173.50,1.75,interference
175.25,1.75,interference
177.00,1.75,interference
178.75,1.75,interference
180.50,1.75,interference
182.25,1.75,interference
184.00,1.75,interference
185.75,1.75,interference
187.50,1.75,interference
189.25,1.75,interference
191.00,1.75,interference
192.75,1.75,interference
194.50,1.75,interference
196.25,1.75,interference
198.00,1.75,control
199.75,1.75,control
201.50,1.75,control
203.25,1.75,control
205.00,1.75,control
206.75,1.75,control
208.50,1.75,control
210.25,1.75,control
212.00,1.75,control
213.75,1.75,control
215.50,1.75,control
217.25,1.75,control
219.00,1.75,control
220.75,1.75,control
222.50,1.75,control
224.25,1.75,control
226.00,1.75,control
227.75,1.75,control
229.50,1.75,control
231.25,1.75,control
233.00,1.75,control
234.75,1.75,control
236.50,1.75,control
238.25,1.75,control
240.00,1.75,interference
241.75,1.75,interference
243.50,1.75,interference
245.25,1.75,interference
247.00,1.75,interference
248.75,1.75,interference
250.50,1.75,interference
252.25,1.75,interference
254.00,1.75,interference
255.75,1.75,interference
257.50,1.75,interference
259.25,1.75,interference
261.00,1.75,interference
262.75,1.75,interference
264.50,1.75,interference
266.25,1.75,interference
268.00,1.75,interference
269.75,1.75,interference
271.50,1.75,interference
273.25,1.75,interference
275.00,1.75,interference
276.75,1.75,interference
278.50,1.75,interference
280.25,1.75,interference
282.00,1.75,control
283.75,1.75,control
285.50,1.75,control
287.25,1.75,control
289.00,1.75,control
290.75,1.75,control
292.50,1.75,control
294.25,1.75,control
296.00,1.75,control
297.75,1.75,control
299.50,1.75,control
301.25,1.75,control
303.00,1.75,control
304.75,1.75,control
306.50,1.75,control
308.25,1.75,control
310.00,1.75,control
311.75,1.75,control
313.50,1.75,control
315.25,1.75,control
317.00,1.75,control
318.75,1.75,control
320.50,1.75,control
322.25,1.75,control
324.00,1.75,interference
325.75,1.75,interference
327.50,1.75,interference
329.25,1.75,interference
331.00,1.75,interference
332.75,1.75,interference
334.50,1.75,interference
336.25,1.75,interference
338.00,1.75,interference
339.75,1.75,interference
341.50,1.75,interference
343.25,1.75,interference
345.00,1.75,interference
346.75,1.75,interference
348.50,1.75,interference
350.25,1.75,interference
352.00,1.75,interference
353.75,1.75,interference
355.50,1.75,interference
357.25,1.75,interference
359.00,1.75,interference
360.75,1.75,interference
362.50,1.75,interference
364.25,1.75,interference
