onset,duration,trial_type
0,30,rest
1733264334.467,0.5,miss
1733264335.26,0.5,miss
1733264336.553,0.5,miss
1733264337.848,0.5,miss
1733264339.65,0.5,miss
1733264341.448,0.5,correct rejection
1733264342.248,0.5,miss
1733264343.783,0.5,correct rejection
1733264345.341,0.5,miss
1733264346.39,0.5,correct rejection
1733264347.445,0.5,correct rejection
1733264348.748,0.5,miss
1733264350.545,0.5,miss
1733264351.845,0.5,miss
1733264353.147,0.5,miss
1733264354.197,0.5,miss
1733264355.732,0.5,miss
1733264357.262,0.5,correct rejection
1733264358.798,0.5,miss
1733264359.831,0.5,miss
1733264361.115,0.5,correct rejection
1733264362.146,0.5,miss
1733264363.926,0.5,miss
1733264365.465,0.5,miss
1733264366.749,0.5,miss
1733264368.289,0.5,correct rejection
1733264369.068,0.5,correct rejection
1733264369.848,0.5,correct rejection
1733264371.387,0.5,miss
1733264372.7,0.5,miss
1733264373.985,0.5,miss
1733264375.524,0.5,correct rejection
1733264376.818,0.5,miss
1733264378.597,0.5,miss
1733264380.128,0.5,miss
1733264381.92,0.5,correct rejection
1733264382.716,0.5,miss
1733264383.748,0.5,correct rejection
1733264384.537,0.5,correct rejection
1733264385.569,0.5,miss
1733264387.104,0.5,miss
1733264388.138,0.5,miss
1733264388.924,0.5,correct rejection
1733264390.207,0.5,miss
1733264391.247,0.5,miss
1733264392.527,0.5,miss
1733264394.307,0.5,miss
1733264395.334,0.5,correct rejection
1733264397.139,0.5,miss
1733264398.671,0.5,correct rejection
1733264399.463,0.5,miss
1733264401.242,0.5,miss
1733264403.025,0.5,correct rejection
1733264404.318,0.5,miss
1733264405.35,0.5,miss
1733264406.382,0.5,miss
1733264407.165,0.5,correct rejection
1733264407.955,0.5,miss
1733264409.736,0.5,miss
1733264411.031,0.5,correct rejection
1733264411.808,0.5,miss
1733264412.841,0.5,correct rejection
