onset,duration,trial_type
0.0,30.0,rest
30.0,0.5,correct_rejection
30.75,0.5,hit
32.25,0.5,hit
33.75,0.5,hit
34.5,0.5,false_alarm
36.25,0.5,hit
37.75,0.5,miss
38.5,0.5,miss
39.5,0.5,miss
40.75,0.5,miss
42.5,0.5,miss
44.25,0.5,correct_rejection
46.0,0.5,miss
47.25,0.5,miss
48.0,0.5,miss
48.75,0.5,miss
50.5,0.5,miss
52.25,0.5,miss
54.0,0.5,miss
55.75,0.5,correct_rejection
56.75,0.5,miss
58.25,0.5,miss
59.5,0.5,correct_rejection
60.75,0.5,miss
62.25,0.5,miss
64.0,0.5,correct_rejection
65.25,0.5,miss
66.0,0.5,miss
67.75,0.5,miss
69.5,0.5,correct_rejection
71.25,0.5,correct_rejection
72.0,0.5,correct_rejection
73.75,0.5,miss
75.25,0.5,miss
76.5,0.5,miss
77.5,0.5,miss
79.0,0.5,miss
80.25,0.5,miss
81.75,0.5,miss
83.0,0.5,miss
83.75,0.5,correct_rejection
85.5,0.5,miss
86.25,0.5,miss
87.25,0.5,miss
88.5,0.5,miss
90.25,0.5,miss
92.0,0.5,miss
93.0,0.5,miss
94.0,0.5,miss
94.75,0.5,miss
96.5,0.5,miss
97.25,0.5,correct_rejection
98.5,0.5,correct_rejection
99.5,0.5,miss
100.75,0.5,miss
101.75,0.5,miss
103.5,0.5,miss
104.5,0.5,miss
105.25,0.5,miss
107.0,0.5,correct_rejection
108.0,0.5,miss
108.75,0.5,miss
109.5,0.5,miss
110.25,0.5,miss
111.5,0.5,miss
113.25,0.5,miss
114.5,0.5,miss
115.25,0.5,miss
117.0,0.5,miss
118.5,0.5,miss
119.75,0.5,miss
121.0,0.5,miss
121.75,0.5,miss
122.5,0.5,correct_rejection
124.25,0.5,miss
125.75,0.5,miss
127.0,0.5,miss
127.75,0.5,miss
129.0,0.5,miss
130.75,0.5,miss
132.0,0.5,correct_rejection
133.75,0.5,miss
134.5,0.5,miss
135.5,0.5,miss
136.75,0.5,miss
138.25,0.5,correct_rejection
139.25,0.5,miss
140.0,0.5,correct_rejection
141.25,0.5,miss
142.75,0.5,miss
144.25,0.5,miss
146.0,0.5,miss
146.75,0.5,miss
148.25,0.5,miss
150.0,0.5,correct_rejection
150.75,0.5,miss
151.75,0.5,miss
153.0,0.5,correct_rejection
154.75,0.5,miss
156.25,0.5,miss
157.5,0.5,miss
158.75,0.5,miss
160.0,0.5,miss
161.75,0.5,miss
163.0,0.5,miss
164.0,0.5,miss
165.25,0.5,miss
166.75,0.5,miss
167.5,0.5,miss
169.25,0.5,miss
170.0,0.5,miss
171.5,0.5,miss
172.75,0.5,miss
173.75,0.5,miss
174.75,0.5,miss
175.5,0.5,miss
177.25,0.5,miss
178.75,0.5,miss
179.5,0.5,miss
181.25,0.5,miss
182.25,0.5,miss
183.75,0.5,miss
185.0,0.5,miss
185.75,0.5,miss
187.0,0.5,correct_rejection
188.0,0.5,correct_rejection
189.5,0.5,correct_rejection
190.5,0.5,miss
192.25,0.5,correct_rejection
194.0,0.5,correct_rejection
195.5,0.5,miss
196.5,0.5,correct_rejection
197.25,0.5,miss
198.75,0.5,miss
200.5,0.5,miss
201.25,0.5,correct_rejection
202.25,0.5,miss
204.0,0.5,correct_rejection
204.75,0.5,miss
205.5,0.5,miss
206.75,0.5,miss
208.0,0.5,miss
209.0,0.5,correct_rejection
210.5,0.5,miss
211.25,0.5,miss
212.75,0.5,correct_rejection
214.25,0.5,miss
215.5,0.5,correct_rejection
217.25,0.5,miss
218.0,0.5,correct_rejection
219.25,0.5,miss
220.5,0.5,correct_rejection
221.5,0.5,miss
222.75,0.5,correct_rejection
224.0,0.5,correct_rejection
224.75,0.5,correct_rejection
225.75,0.5,miss
227.25,0.5,miss
228.5,0.5,miss
230.0,0.5,miss
231.75,0.5,miss
232.5,0.5,correct_rejection
234.25,0.5,miss
235.75,0.5,miss
237.0,0.5,miss
238.75,0.5,miss
240.0,0.5,miss
241.75,0.5,miss
243.0,0.5,miss
243.75,0.5,miss
244.5,0.5,miss
245.25,0.5,miss
247.0,0.5,correct_rejection
248.75,0.5,correct_rejection
250.5,0.5,correct_rejection
251.5,0.5,miss
253.0,0.5,miss
254.75,0.5,miss
256.0,0.5,miss
257.0,0.5,miss
258.25,0.5,miss
259.75,0.5,miss
260.75,0.5,correct_rejection
261.75,0.5,miss
262.75,0.5,correct_rejection
264.25,0.5,miss
265.75,0.5,correct_rejection
267.5,0.5,miss
269.0,0.5,miss
270.25,0.5,miss
272.0,0.5,miss
273.0,0.5,correct_rejection
274.0,30.0,rest
