onset,duration,trial_type
0,30,rest 
30,0.5,task
31,0.5,task
32,0.5,task
33,0.5,task
34,0.5,task
35,0.5,task
36,0.5,task
37,0.5,task
38,0.5,task
39,0.5,task
40,0.5,task
41,0.5,task
42,0.5,task
43,0.5,task
44,0.5,task
45,0.5,task
46,0.5,task
47,0.5,task
48,0.5,task
49,0.5,task
50,0.5,task
51,0.5,task
52,0.5,task
53,0.5,task
54,0.5,task
55,0.5,task
56,0.5,task
57,0.5,task
58,0.5,task
59,0.5,task
60,0.5,task
61,0.5,task
62,0.5,task
63,0.5,task
64,0.5,task
65,0.5,task
66,0.5,task
67,0.5,task
68,0.5,task
69,0.5,task
70,0.5,task
71,0.5,task
72,0.5,task
73,0.5,task
74,0.5,task
75,0.5,task
76,0.5,task
77,0.5,task
78,0.5,task
79,0.5,task
80,0.5,task
81,0.5,task
82,0.5,task
83,0.5,task
84,0.5,task
85,0.5,task
86,0.5,task
87,0.5,task
88,0.5,task
89,0.5,task
90,0.5,task
91,0.5,task
92,0.5,task
93,0.5,task
94,0.5,task
95,0.5,task
96,0.5,task
97,0.5,task
98,0.5,task
99,0.5,task
100,0.5,task
101,0.5,task
102,0.5,task
103,0.5,task
104,0.5,task
105,0.5,task
106,0.5,task
107,0.5,task
108,0.5,task
109,0.5,task
110,0.5,task
111,0.5,task
112,0.5,task
113,0.5,task
114,0.5,task
115,0.5,task
116,0.5,task
117,0.5,task
118,0.5,task
119,0.5,task
120,0.5,task
121,0.5,task
122,0.5,task
123,0.5,task
124,0.5,task
125,0.5,task
126,0.5,task
127,0.5,task
128,0.5,task
129,0.5,task
130,0.5,task
131,0.5,task
132,0.5,task
133,0.5,task
134,0.5,task
135,0.5,task
136,0.5,task
137,0.5,task
138,0.5,task
139,0.5,task
140,0.5,task
141,0.5,task
142,0.5,task
143,0.5,task
144,0.5,task
145,0.5,task
146,0.5,task
147,0.5,task
148,0.5,task
149,0.5,task
150,0.5,task
151,0.5,task
152,0.5,task
153,0.5,task
154,0.5,task
155,0.5,task
156,0.5,task
157,0.5,task
158,0.5,task
159,0.5,task
160,0.5,task
161,0.5,task
162,0.5,task
163,0.5,task
164,0.5,task
165,0.5,task
166,0.5,task
167,0.5,task
168,0.5,task
169,0.5,task
170,0.5,task
171,0.5,task
172,0.5,task
173,0.5,task
174,0.5,task
175,0.5,task
176,0.5,task
177,0.5,task
178,0.5,task
179,0.5,task
180,0.5,task
181,0.5,task
182,0.5,task
183,0.5,task
184,0.5,task
185,0.5,task
186,0.5,task
187,0.5,task
188,0.5,task
189,0.5,task
190,0.5,task
191,0.5,task
192,0.5,task
193,0.5,task
194,0.5,task
195,0.5,task
196,0.5,task
197,0.5,task
198,0.5,task
199,0.5,task
200,0.5,task
201,0.5,task
202,0.5,task
203,0.5,task
204,0.5,task
205,0.5,task
206,0.5,task
207,0.5,task
208,0.5,task
209,0.5,task
210,0.5,task
211,0.5,task
212,0.5,task
213,0.5,task
214,0.5,task
215,0.5,task
216,0.5,task
217,0.5,task
218,0.5,task
219,0.5,task
220,0.5,task
221,0.5,task
222,30,rest
