onset,duration,trial_type
0,30,rest
30,0.5,task
30.75,0.5,task
32.0,0.5,task
33.25,0.5,task
35.0,0.5,task
36.75,0.5,task
37.5,0.5,task
39.0,0.5,task
40.5,0.5,task
41.5,0.5,task
42.5,0.5,task
43.75,0.5,task
45.5,0.5,task
46.75,0.5,task
48.0,0.5,task
49.0,0.5,task
50.5,0.5,task
52.0,0.5,task
53.5,0.5,task
54.5,0.5,task
55.75,0.5,task
56.75,0.5,task
58.5,0.5,task
60.0,0.5,task
61.25,0.5,task
62.75,0.5,task
63.5,0.5,task
64.25,0.5,task
65.75,0.5,task
67.0,0.5,task
68.25,0.5,task
69.75,0.5,task
71.0,0.5,task
72.75,0.5,task
74.25,0.5,task
76.0,0.5,task
76.75,0.5,task
77.75,0.5,task
78.5,0.5,task
79.5,0.5,task
81.0,0.5,task
82.0,0.5,task
82.75,0.5,task
84.0,0.5,task
85.0,0.5,task
86.25,0.5,task
88.0,0.5,task
89.0,0.5,task
90.75,0.5,task
92.25,0.5,task
93.0,0.5,task
94.75,0.5,task
96.5,0.5,task
97.75,0.5,task
98.75,0.5,task
99.75,0.5,task
100.5,0.5,task
101.25,0.5,task
103.0,0.5,task
104.25,0.5,task
105.0,0.5,task
106.0,0.5,task
107.75,0.5,task
109.25,0.5,task
110.5,0.5,task
112.0,0.5,task
113.0,0.5,task
113.75,0.5,task
115.0,0.5,task
116.75,0.5,task
117.75,0.5,task
118.5,0.5,task
120.0,0.5,task
120.75,0.5,task
121.5,0.5,task
122.25,0.5,task
124.0,0.5,task
125.0,0.5,task
125.75,0.5,task
127.5,0.5,task
128.75,0.5,task
129.5,0.5,task
131.0,0.5,task
132.25,0.5,task
133.25,0.5,task
134.75,0.5,task
136.5,0.5,task
137.75,0.5,task
139.0,0.5,task
139.75,0.5,task
141.0,0.5,task
142.5,0.5,task
143.75,0.5,task
145.5,0.5,task
146.5,0.5,task
148.0,0.5,task
149.5,0.5,task
150.5,0.5,task
152.0,0.5,task
153.0,0.5,task
154.5,0.5,task
156.0,0.5,task
157.0,0.5,task
158.25,0.5,task
159.0,0.5,task
160.75,0.5,task
162.5,0.5,task
164.0,0.5,task
165.0,0.5,task
165.75,0.5,task
166.75,0.5,task
167.5,0.5,task
169.0,0.5,task
169.75,0.5,task
171.5,0.5,task
172.25,0.5,task
173.25,0.5,task
174.25,0.5,task
175.25,0.5,task
177.0,0.5,task
178.75,0.5,task
179.75,0.5,task
181.25,0.5,task
182.75,0.5,task
184.5,0.5,task
186.25,0.5,task
187.0,0.5,task
188.75,0.5,task
190.0,0.5,task
191.0,0.5,task
192.0,0.5,task
193.75,0.5,task
194.75,0.5,task
196.5,0.5,task
197.5,0.5,task
198.5,0.5,task
199.75,0.5,task
201.5,0.5,task
202.25,0.5,task
203.25,0.5,task
204.5,0.5,task
205.5,0.5,task
206.75,0.5,task
208.5,0.5,task
209.25,0.5,task
211.0,0.5,task
211.75,0.5,task
213.25,0.5,task
215.0,0.5,task
216.75,0.5,task
218.0,0.5,task
218.75,0.5,task
220.5,0.5,task
221.25,0.5,task
222.0,0.5,task
222.75,0.5,task
223.75,0.5,task
225.5,0.5,task
226.5,0.5,task
227.75,0.5,task
228.5,0.5,task
229.75,0.5,task
231.25,0.5,task
232.25,0.5,task
234.0,0.5,task
234.75,0.5,task
235.75,0.5,task
236.5,0.5,task
237.25,0.5,task
238.25,0.5,task
239.75,0.5,task
241.25,0.5,task
242.75,0.5,task
244.5,0.5,task
245.75,0.5,task
247.25,0.5,task
248.5,0.5,task
249.75,0.5,task
251.25,0.5,task
252.75,0.5,task
253.75,0.5,task
255.5,0.5,task
256.75,0.5,task
258.25,0.5,task
259.75,0.5,task
261.25,0.5,task
263.0,0.5,task
264.75,0.5,task
266.0,0.5,task
267.75,0.5,task
269.5,0.5,task
270.5,0.5,task
271.75,30,rest
